patch,r,g,b,refR,refG,refB,refX,refY,refZ
g8,17603.0,10236.0,8313.0,41182.0,6097.0,12206.0,1740.27589158,3101.0,4006.0850214
g9,5350.0,5404.0,4234.0,11718.0,3964.0,6182.0,10101.3341001,10840.0,10226.0034503
g10,5673.0,5280.0,4181.0,12488.0,3777.0,6048.0,9498.54285714,10700.0,10372.8857143
g11,6028.0,5260.0,4167.0,13433.0,3700.0,6063.0,8899.92598918,10520.0,10525.989183
g12,7304.0,4954.0,3892.0,16698.0,3216.0,5696.0,7914.0,10620.0,11466.0
g13,7130.0,4438.0,2924.0,16418.0,2989.0,4112.0,9107.18971061,11570.0,16525.3826367
g14,4264.0,6609.0,3256.0,8945.0,6013.0,4374.0,11366.1390374,8468.0,12511.1627196
g15,3781.0,5451.0,7283.0,7835.0,3132.0,11151.0,15004.0164309,15580.0,4970.52487449
g16,7769.0,9886.0,7613.0,16664.0,7625.0,11040.0,3729.77677269,3785.0,3529.86868982
g17,4468.0,9253.0,7573.0,8730.0,7443.0,11022.0,8909.14237192,6880.0,3684.39286725
g18,7150.0,6247.0,7362.0,15829.0,3479.0,11127.0,6309.60683761,8816.0,4703.45299145
g19,7716.0,7127.0,3198.0,17258.0,6011.0,4143.0,5352.95073892,4787.0,11297.5772503
g20,4670.0,6750.0,6981.0,9794.0,4664.0,10428.0,9417.85973306,9173.0,4509.11508436
g21,4714.0,7769.0,9678.0,9637.0,4894.0,14818.0,8966.88846611,8666.0,2975.91058264
g22,4425.0,10402.0,20090.0,8000.0,4199.0,31571.0,11447.3333333,10850.0,1036.0
h1,16474.0,20044.0,14646.0,35891.0,15633.0,21389.0,791.887424387,875.2,1119.28634193
h2,17719.0,19220.0,12896.0,39318.0,15099.0,18484.0,684.165517241,831.6,1380.7862069
h3,18587.0,18632.0,11513.0,41710.0,14726.0,16138.0,686.247926267,882.9,1821.40506912
h4,18645.0,17538.0,10705.0,42188.0,13709.0,15065.0,687.428740624,921.3,2028.46036321
h5,10449.0,10437.0,7432.0,23291.0,7949.0,10686.0,2694.13649112,2973.0,3597.43191025
h6,13053.0,9807.0,6330.0,30045.0,7173.0,8965.0,2490.53438443,3007.0,4589.68466957
h7,15864.0,9476.0,5581.0,37079.0,6526.0,7697.0,2220.23469014,2932.0,5599.50715072
h8,17445.0,9158.0,4942.0,41042.0,6145.0,6664.0,1984.7144623,2857.0,6930.02018953
h9,5365.0,5375.0,4027.0,11750.0,3995.0,5819.0,9865.49112426,10440.0,10582.0828402
h10,5622.0,5250.0,3795.0,12425.0,3886.0,5427.0,9669.96366939,10510.0,11639.5943082
