patch,r,g,b,refR,refG,refB,refX,refY,refZ
e1,14460.0,14912.0,15930.0,11817.0,15460.0,13797.0,1407.42179072,1544.0,1212.54800431
e2,15737.0,15727.0,20170.0,12925.0,15155.0,17795.0,1315.63069307,1546.0,965.101980198
e3,17060.0,16610.0,24497.0,14055.0,14900.0,21587.0,1261.59275598,1565.0,807.0269329
e4,16942.0,16397.0,25327.0,13957.0,14297.0,22482.0,1370.7276068,1714.0,851.882406982
e5,8917.0,8540.0,9972.0,7340.0,8475.0,8630.0,3912.51686559,4333.0,2997.34769071
e6,9750.0,9295.0,14980.0,7990.0,7847.0,13350.0,3622.82933579,4349.0,2058.15221402
e7,11037.0,10360.0,22035.0,8992.0,7032.0,20000.0,3175.94313968,4188.0,1263.99258344
e8,12615.0,11630.0,29547.0,10282.0,6327.0,27002.0,3068.46971473,4292.0,1025.61860102
e9,5262.0,4452.0,4795.0,4410.0,4457.0,4230.0,10563.4212696,11230.0,9066.70513877
e10,5380.0,4510.0,5507.0,4527.0,4287.0,4922.0,10263.8896121,11280.0,7823.46263994
e11,5592.0,4702.0,6467.0,4687.0,4240.0,5795.0,9676.59921027,10980.0,6441.13030602
e12,6297.0,5182.0,9750.0,5230.0,3780.0,8865.0,8704.93621622,10890.0,3951.00972973
e13,5935.0,3125.0,2790.0,5167.0,3062.0,2407.0,12802.1338655,15190.0,18645.8765735
e14,4037.0,4565.0,3185.0,3292.0,5347.0,2685.0,14639.8727648,12430.0,15674.281293
e15,3920.0,3755.0,5592.0,3237.0,3307.0,5050.0,17193.9618955,18040.0,8830.52271617
e16,6167.0,5737.0,5560.0,5135.0,6072.0,4847.0,7529.6489083,7684.0,7156.07452693
e17,4027.0,5602.0,5625.0,3162.0,6095.0,4932.0,12289.0324417,10660.0,7386.76721685
e18,5850.0,3860.0,5230.0,4997.0,3370.0,4665.0,10194.8959366,12680.0,8542.34886026
e19,5977.0,4552.0,3015.0,5070.0,5150.0,2482.0,9129.93922652,8837.0,14581.8637201
e20,5070.0,15715.0,26597.0,3025.0,14342.0,24007.0,6434.84630839,4647.0,588.168759417
e21,5945.0,12280.0,18742.0,4217.0,11597.0,16815.0,4750.84660622,4005.0,1057.9245283
e22,4612.0,7472.0,10015.0,3495.0,7400.0,8917.0,8016.6317388,7048.0,2773.89015439
f1,21182.0,20627.0,20267.0,17645.0,21870.0,17230.0,672.98500283,774.7,744.448556876
